ID,Marke,Name,Hauptfamilie,Unterfamilie,Duftpyramide,Duftrichtung,Charakter,Assoziation,Anlass,Saison,Haltbarkeit,Sillage,Besonderheit,Marke,Name,Meine Bewertung,Mein Kommentar,Verkaeufer,Kommentar,
1,Issey Miyake,L’Eau d’Issey pour Homme (EdT),Aquatisch,Holzig / Zitrisch,"Kopf: Yuzu, Mandarine
Herz: Muskat, Wasserlilie, Zimt
Basis: Sandelholz, Vetiver, Amber, Tabak","frisch, aquatisch, würzig, holzig","klar, luftig, maskulin","ein klarer Wasserfall, Zitrusfrüchte und kühler Holznebel","Alltag, Büro, Freizeit","Frühling, Sommer",6–8 h,moderat,ikonischer japanischer Zitrus‑Aquaduft mit exotischem Yuzu,Issey Miyake,L’Eau d’Issey pour Homme (EdT),0.60,"Zitrisch, orangig, würzig, gut, nach einer weile riecht es aber leider nach Desinfektionstuch",Douglas EEZ,,
2,Armani,Acqua di Giò (EdT),Aquatisch,Aromatisch / Zitrisch,"Kopf: Limette, Bergamotte, Zitrone, Jasmin, Mandarine, Orange
Herz: Meeresnoten, Koriander, Zyklame, Freesie, Hyazinthe, Pfirsich, Reseda, Rose, Veilchen
Basis: Moschus, Amber, Zedernholz, Eichenmoos, Patchouli, Kaki","aquatisch, zitrisch, frisch, grün","maritime, belebend, elegant",mediterrane Küste bei Sonnenaufgang – kühle Meeresbrise und Zitrusgärten,"Büro, Alltag, Freizeit","Frühling, Sommer",4–6 h,moderat,zeitloser Klassiker der Aquadüfte mit maritimen Noten,Armani,Acqua di Giò (EdT),0.50,Frisch holzig langweilig ,Douglas EEZ,,
3,Yves Saint Laurent,Y (EdP),Fougère,Aromatisch / Holzig,"Kopf: Apfel, Aldehyde, Bergamotte, Elemi‑Harz, Ingwer
Herz: Wacholderbeere, Lavendel, Salbei, Geranium‑Absolue
Basis: Operanide®, Vetiver, Weihrauch, Tonkabohne","frisch, süß, holzig, aromatisch","modern, energetisch, maskulin",kreativer Großstadtmensch zwischen Büro und Nachtleben,"Alltag, Büro, Abend",Ganzjährig,7–8 h,moderat bis stark,verbindet knackigen Apfel und Ingwer mit aromatischem Salbei und Amber‑Basis,Yves Saint Laurent,Y (EdP),0.55,Ähnlich acqua di gio aber süß,Douglas EEZ,,
4,Hermès,Eau des Merveilles Bleue,Aquatisch,Holzig / Mineralisch,"Lineare Noten: Mineralische Noten, Wacholderbeeren, Patchouli","mineralisch, frisch, holzig, salzig","kühl, maritim, elegant",Strandspaziergang über Treibholz und glitzernde Kieselsteine unter klarem Himmel,"Alltag, Urlaub","Frühling, Sommer",5–7 h,moderat,ungewöhnliche Kombination aus salzigen Mineralnoten und Holz,Hermès,Eau des Merveilles Bleue,0.50,Langweil aquatisch ,Douglas EEZ,,
5,Diptyque,Eau de Minthé,Fougère,Aromatisch / Würzig,"Kopf: Minze, Muskatnuss
Herz: Geranie, Rose
Basis: Patchouli","frisch, minzig, grün, würzig","modern, herb, energetisch",frische Pfefferminzblätter und Rosenwasser in einem grünen Garten,"Alltag, Freizeit, Büro","Frühling, Sommer",5–7 h,moderat,interpretiert die klassische Fougère mit Minze statt Lavendel,Diptyque,Eau de Minthé,0.60,"Schön frisch, zu pferfferminzig",Alsterhaus,,
6,Diptyque,Eau Duelle (EdP),Orientalisch,Holzig / Würzig,"Lineare Noten: Bourbon-Vanille, Weihrauch, Cypriol, Rosa Pfeffer, Calamus","warm, würzig, rauchig, vanillig","gemütlich, meditativ, raffiniert",Gewürzroute: Bourbon-Vanille und Weihrauch in einer Reisendenkarawane,"Abend, gemütliche Abende","Herbst, Winter",6–8 h,moderat,harmonischer Mix aus rauchigem Harz und trockener Vanille ohne übermäßige Süße,Diptyque,Eau Duelle (EdP),0.60,"Leicht frisch, fruchtig, zu süß ",Alsterhaus,,
7,Atelier Cologne,Orange Sanguine,Zitrisch,Fruchtig,"Kopf: Italienische Blutorange, Spanische Bitterorange, Rote Mandarine
Herz: Chinesische Geranie, Madagassischer Pfeffer, Ägyptischer Jasmin
Basis: Australisches Sandelholz, Brasilianische Tonkabohne, Texas-Zedernholz","spritzig, süß, frisch, holzig","sonnig, lebensfroh, gourmand","frisch gepresster Orangensaft am Morgen, gewürzt mit Pfeffer und warmem Holz","Alltag, Sommerabende","Frühling, Sommer",5–6 h,moderat,hyperrealistischer Blutorangen-Duft mit cremiger Tonkabohnenbasis,Atelier Cologne,Orange Sanguine,,,Hamburger Hof Parfümerie,,
8,Diptyque,Eau de Tarocco,Zitrisch,Aromatisch / Würzig,"Kopf: Blutorange, Grapefruit, Orange
Herz: Zimt, Rose, Orangenblüte, Safran, Ingwer, Kurkuma
Basis: Zedernholz, Moschus, Weihrauch","zitrisch, süß-würzig, fruchtig, holzig","hell, exotisch, lebendig",mediterranes Orangenfestival mit würziger Safran-Note und weichem Holz,"Alltag, Frühlingstage","Frühling, Sommer",4–6 h,moderat,vereint saftige Blutorangen mit orientalischen Gewürzen und Weihrauch,Diptyque,Eau de Tarocco,,,?,nicht im Alsterhaus gefunden,
9,Parfums de Nicolai,Eau d’Été,Zitrisch,Frisch / Würzig,"Kopf: Limette, Grapefruit, Orange
Herz: Jasmin‑Absolue, Zimt
Basis: Benzoe, Moschus, Labdanum‑Absolue","zitrisch, frisch, würzig, blumig","spritzig, leicht, nostalgisch",Sommerlimo mit frischer Zitrone und einem Hauch Zimtblüte,"Alltag, Freizeit","Frühling, Sommer",5–7 h,moderat,frühe Kreation (1997) von Patricia de Nicolai; belebende „Sommerfrische“,Parfums de Nicolai,Eau d’Été,0.50,Wird am Ende apfelig seifig,Parfums Lubner,,
10,Bvlgari,Aqva Marine (EdT),Aquatisch,Aromatisch / Zitrisch,"Kopf: Grapefruit, Neroli
Herz: Seegras (Neptune Grass), Rosmarinblüte
Basis: Mineralischer Amber, Weißes Zedernholz","aquatisch, frisch, salzig, holzig","kühl, maritim, energetisch","klares Meerwasser, salzige Haut und Seegras an einer felsigen Küste","Alltag, Sport, Urlaub","Sommer, Frühling",6–7 h,moderat,salziger Meeresduft mit Seegras und mineralischem Amber für heiße Tage,Bvlgari,Aqva Marine (EdT),,,Bvlgari,,
